name,rev,charitable_expenditure
cancer research uk,855000000.0,855259308.75
cardiff university,795000000.0,795475588.75
lloyds register foundation,700000000.0,700501250.0
nuffield health,1700000000.0,1697625000.0
save the children international,1525000000.0,1520428262.5
the arts council of england,1003750000.0,1003831752.5
the british council,1091250000.0,1236669912.5
the charities aid foundation,1437500000.0,1493528750.0
the national trust,903750000.0,
the national trust for places of historic interest or natural beauty,,904767500.0
united learning ltd,918750000.0,919481250.0
